[0:0:0:0] App launched.
[0:0:0:0] Successfully retrieved information from the launcher.
[0:0:0:5] Internet connection succeed.
[0:0:0:32] Build is up to date.
[0:0:0:32] Checking directories: fusion.png
[0:0:0:32] Checking directories: game.png
[0:0:0:32] Checking directories: audio\scream.wav
[0:0:0:32] Checking directories: config\difficulty_classic.cfg
[0:0:0:32] Checking directories: config\difficulty_expert.cfg
[0:0:0:32] Checking directories: config\difficulty_nightmare.cfg
[0:0:0:32] Checking directories: config\settings_default.cfg
[0:0:0:32] Checking directories: fonts\alagard.ttf
[0:0:0:32] Checking directories: fonts\kiwisoda.ttf
[0:0:0:32] Checking directories: fonts\moderndos.ttf
[0:0:0:32] Checking directories: interface\cursor.png
[0:0:0:32] Checking directories: interface\cursor_xbox.png
[0:0:0:32] Checking directories: interface\offset.cfg
[0:0:0:32] Checking directories: interface\offset_default.cfg
[0:0:0:32] Checking directories: interface\rgb.cfg
[0:0:0:32] Checking directories: interface\rgb_default.cfg
[0:0:0:32] Checking directories: language\polish.lang
[0:0:0:32] Checking directories: language\english.lang
[0:0:0:32] Checking directories: effects\blood.png
[0:0:0:32] Checking directories: effects\smpte.png
[0:0:0:32] Checking directories: effects\blackhole.png
[0:0:0:32] Checking directories: effects\distortion_map.png
[0:0:0:32] Checking directories: effects\fire_overlay.png
[0:0:0:32] Checking directories: effects\item_overlay.png
[0:0:0:32] Checking directories: effects\crt\crt_curve.png
[0:0:0:32] Checking directories: effects\crt\crt_outline.png
[0:0:0:32] Checking directories: effects\crt\crt_scanlines.png
[0:0:0:32] Checking directories: effects\noise\01.png
[0:0:0:32] Checking directories: effects\noise\02.png
[0:0:0:32] Checking directories: effects\noise\03.png
[0:0:0:32] Checking directories: effects\noise\04.png
[0:0:0:32] Checking directories: effects\noise\05.png
[0:0:0:32] Checking directories: effects\noise\06.png
[0:0:0:32] Checking directories: effects\noise\07.png
[0:0:0:32] Checking directories: effects\noise\08.png
[0:0:0:32] Checking directories: effects\radar\background.png
[0:0:0:32] Checking directories: effects\radar\marker.png
[0:0:0:32] Checking directories: effects\radar\dot.png
[0:0:0:34] Directiores succeed.
[0:0:0:34] Done!  (347ms)
